timestamp,price
2023-03-01,23611.05838127877
2023-03-02,23421.431616650367
2023-03-03,22397.62066751822
2023-03-04,22349.55966414591
2023-03-05,22433.53731330336
2023-03-06,22426.747808498487
2023-03-07,22243.11905314754
2023-03-08,22002.496721632553
2023-03-09,21125.86262654877
2023-03-10,19964.201765072336
2023-03-11,20440.330415706805
2023-03-12,21246.174273947014
2023-03-13,23407.583633580936
2023-03-14,24969.04653115229
2023-03-15,24638.333304799573
2023-03-16,24780.800256623428
2023-03-17,26474.953514395045
2023-03-18,27368.836366441792
2023-03-19,27802.475495124174
2023-03-20,27939.76172618251
2023-03-21,28103.774150429545
2023-03-22,28065.888763727744
2023-03-23,28000.207408726536
2023-03-24,27877.705022664635
2023-03-25,27508.59948252124
2023-03-26,27842.25908883713
2023-03-27,27369.075804891396
2023-03-28,27045.950254153748
2023-03-29,28186.91751328334
2023-03-30,28381.866816462218
2023-03-31,28232.104424313227
2023-04-01,28487.996662740767
2023-04-02,28186.039692574675
2023-04-03,27999.102430509734
2023-04-04,28124.151389365503
2023-04-05,28335.780829362528
2023-04-06,27996.90369743824
2023-04-07,27945.733725858965
2023-04-08,28012.720281455666
2023-04-09,28115.847614934366
2023-04-10,28928.439092763638
2023-04-11,30134.075979387108
2023-04-12,30063.639722118955
2023-04-13,30299.294021637816
2023-04-14,30584.51713401347
2023-04-15,30393.309226316353
2023-04-16,30344.94035975625
2023-04-17,29691.296440883823
2023-04-18,30058.71226997019
2023-04-19,29356.86961322741
2023-04-20,28586.198626755646
2023-04-21,27841.27264503623
2023-04-22,27491.01635421741
2023-04-23,27559.748222182985
2023-04-24,27449.270203563017
2023-04-25,27639.93455908781
2023-04-26,28794.345523117037
2023-04-27,29242.362946486104
2023-04-28,29297.717285965096
2023-04-29,29296.606063069692
2023-04-30,29475.57325360911
2023-05-01,28353.475434992983
2023-05-02,28371.81583897519
2023-05-03,28567.003356497768
2023-05-04,28964.96676876488
2023-05-05,29330.202472840123
2023-05-06,29095.879971693284
2023-05-07,28874.512791639838
2023-05-08,27879.72448289716
2023-05-09,27600.961662873346
2023-05-10,27708.808154814156
2023-05-11,27172.083999829625
2023-05-12,26419.416248667072
2023-05-13,26846.058498196402
2023-05-14,26902.655083063215
2023-05-15,27335.823881855464
2023-05-16,27058.533616244003
2023-05-17,27003.103344000472
2023-05-18,27037.94677992752
2023-05-19,26883.88042166161
2023-05-20,26994.526267303612
2023-05-21,26947.414899895793
2023-05-22,26823.243602407678
2023-05-23,27249.3397883051
2023-05-24,26469.216622119176
2023-05-25,26296.777883396815
2023-05-26,26654.44686661472
2023-05-27,26740.954902228877
2023-05-28,27468.824554503048
2023-05-29,27961.90144418607
2023-05-30,27810.491392024207
2023-05-31,27164.282081621546
2023-06-01,26914.219512425545
2023-06-02,27042.98649040561
2023-06-03,27161.685461077148
2023-06-04,27190.523503472345
2023-06-05,26124.742946872237
2023-06-06,26296.15635371449
2023-06-07,26667.68214080311
2023-06-08,26491.957183402115
2023-06-09,26525.063188917775
2023-06-10,25798.77669321826
2023-06-11,25889.657869381033
2023-06-12,25860.253039299518
2023-06-13,26007.237170491044
2023-06-14,25553.65726796221
2023-06-15,25127.152611222813
2023-06-16,25903.07584213193
2023-06-17,26479.62799808251
2023-06-18,26506.015313146378
2023-06-19,26589.744423934157
2023-06-20,27543.76478594964
2023-06-21,29470.245876918656
2023-06-22,30077.129251999326
2023-06-23,30601.27316074815
2023-06-24,30606.319145980702
2023-06-25,30638.408944598985
2023-06-26,30285.736099651916
2023-06-27,30616.85741736752
2023-06-28,30241.984440829026
2023-06-29,30503.63226096112
2023-06-30,30417.163123869723
2023-07-01,30512.72966102892
2023-07-02,30534.50517351915
2023-07-03,30944.94369741551
2023-07-04,30992.875356633045
2023-07-05,30486.543729925554
2023-07-06,30560.71528135267
2023-07-07,30209.723345191695
2023-07-08,30221.58182133935
2023-07-09,30271.56132535028
2023-07-10,30395.85695481019
2023-07-11,30522.530936868105
2023-07-12,30597.28636633755
2023-07-13,31024.02840438813
2023-07-14,30841.142605255423
2023-07-15,30320.57021197254
2023-07-16,30300.116026183146
2023-07-17,30116.301560904783
2023-07-18,29890.391353287687
2023-07-19,29972.98937028672
2023-07-20,29946.60658071943
2023-07-21,29871.147131576046
2023-07-22,29860.89275263462
2023-07-23,30010.325115228916
2023-07-24,29266.44862099993
2023-07-25,29200.356152178923
2023-07-26,29338.418177360545
2023-07-27,29320.229414837388
2023-07-28,29288.201682230818
2023-07-29,29327.041064601588
2023-07-30,29262.383253750686
2023-07-31,29302.183604045014
2023-08-01,29042.93970086297
2023-08-02,29396.22216016268
2023-08-03,29192.397327741568
2023-08-04,29127.469209829633
2023-08-05,29030.40711792238
2023-08-06,29048.861978354358
2023-08-07,28986.987054576643
2023-08-08,29609.81599372502
2023-08-09,29701.418960731447
2023-08-10,29481.109357358684
2023-08-11,29382.112366949492
2023-08-12,29413.532031671337
2023-08-13,29364.929893195385
2023-08-14,29397.245839338735
2023-08-15,29271.151412449446
2023-08-16,29020.352179125435
2023-08-17,27693.065684711033
2023-08-18,26229.8576157095
2023-08-19,26020.908221075846
2023-08-20,26128.91549843935
2023-08-21,26037.080304916806
2023-08-22,25887.253516772103
2023-08-23,26297.89217308377
2023-08-24,26206.35160253679
2023-08-25,26015.04511712696
2023-08-26,26031.905392113826
2023-08-27,26076.835324163596
2023-08-28,26037.12097660515
2023-08-29,27337.428384324146
2023-08-30,27326.918719067202
2023-08-31,26600.497138368653
2023-09-01,25760.028446058102
2023-09-02,25821.19628842016
