timestamp,price
2024-02-01,42526.64321882579
2024-02-02,43036.91670267445
2024-02-03,43100.46943994461
2024-02-04,42787.12210941758
2024-02-05,42735.548214090624
2024-02-06,43033.07464702028
2024-02-07,43606.7821319324
2024-02-08,45068.36913917582
2024-02-09,47125.5100393764
2024-02-10,47443.140122880635
2024-02-11,48180.807658792226
2024-02-12,49406.97219213054
2024-02-13,49364.106440928386
2024-02-14,51309.634373243156
2024-02-15,52100.3798268823
2024-02-16,52028.313022053946
2024-02-17,51452.082597681634
2024-02-18,51831.73250614659
2024-02-19,52099.19087552645
2024-02-20,51923.34718701394
2024-02-21,51304.361488053204
2024-02-22,51604.53613625613
2024-02-23,51021.859860137265
2024-02-24,51223.95220627592
2024-02-25,51647.83413533206
2024-02-26,53293.86950280849
2024-02-27,56603.77161874742
2024-02-28,60529.7874141711
2024-02-29,62092.3065280997
