timestamp,eth_mrkt_price
2023-02-01,1593.030093364208
2023-02-02,1674.2355792442206
2023-02-03,1651.353372260687
2023-02-04,1670.2742083942587
2023-02-05,1640.2407568130889
2023-02-06,1633.4967044147966
2023-02-07,1648.5704475336752
2023-02-08,1663.9656812185983
2023-02-09,1600.6008694784728
2023-02-10,1530.6853103315623
2023-02-11,1521.8678253185685
2023-02-12,1527.5294311931564
2023-02-13,1492.9578140956135
2023-02-14,1529.9569459337463
2023-02-15,1615.4304352680776
2023-02-16,1692.0365246818626
2023-02-17,1678.2567425392876
2023-02-18,1694.78564745421
2023-02-19,1695.3012694228823
2023-02-20,1697.0162465118706
2023-02-21,1675.5451151071593
2023-02-22,1628.7480140088162
2023-02-23,1654.3065942693333
2023-02-24,1618.542960191665
2023-02-25,1590.6920945267482
2023-02-26,1617.0095691133943
2023-02-27,1637.560862467945
2023-02-28,1627.40108617803
2023-03-01,1647.0249067872437
2023-03-02,1641.8202736184987
2023-03-03,1572.0374982837118
2023-03-04,1569.1092364069182
2023-03-05,1569.7902966467807
2023-03-06,1566.9842258235533
2023-03-07,1558.0795251735447
2023-03-08,1552.6819355861774
2023-03-09,1490.7713595006626
2023-03-10,1409.6203128321504
2023-03-11,1459.9791228030087
2023-03-12,1531.7059243840713
2023-03-13,1642.0697079684157
2023-03-14,1721.4222094211243
2023-03-15,1668.7861033015693
2023-03-16,1663.3384729025577
2023-03-17,1735.119043431207
2023-03-18,1803.660088979491
2023-03-19,1802.7944605028704
2023-03-20,1767.4415296671568
2023-03-21,1790.63781294928
2023-03-22,1778.9640667363644
2023-03-23,1799.5386550762692
2023-03-24,1769.6927299857093
2023-03-25,1745.5221461895392
2023-03-26,1770.6635182447303
2023-03-27,1731.8617718140874
2023-03-28,1744.2892341874835
2023-03-29,1801.1789706756454
2023-03-30,1791.9055681963623
2023-03-31,1816.918745803916
2023-04-01,1823.4120452600228
2023-04-02,1802.7004152015106
2023-04-03,1801.4318425584136
2023-04-04,1856.0814541885672
2023-04-05,1907.6044308027106
2023-04-06,1877.3327934848264
2023-04-07,1862.126666190688
2023-04-08,1863.9755619080622
2023-04-09,1848.3232428942324
2023-04-10,1879.9992464160084
2023-04-11,1911.6009296464626
2023-04-12,1900.238517205208
2023-04-13,1983.0573069348136
2023-04-14,2094.780168851197
2023-04-15,2097.483722140373
2023-04-16,2108.1430690153084
2023-04-17,2083.7010583880983
2023-04-18,2092.213474345464
2023-04-19,1996.9834102482273
2023-04-20,1945.81574411505
2023-04-21,1890.1852924428654
2023-04-22,1863.4361277774497
2023-04-23,1859.6618103433302
2023-04-24,1844.1243783944763
2023-04-25,1831.1471415812593
2023-04-26,1883.3005657801614
2023-04-27,1902.4067014774919
2023-04-28,1898.656613846633
2023-04-29,1902.2825124223148
2023-04-30,1907.9349553408617
2023-05-01,1838.064223334061
2023-05-02,1848.7181239685751
2023-05-03,1874.614805316435
2023-05-04,1890.5915414150643
2023-05-05,1951.603260522296
2023-05-06,1929.6839942633173
2023-05-07,1907.8223251804268
2023-05-08,1852.0194165185565
2023-05-09,1844.9016382285754
2023-05-10,1846.9889585085775
2023-05-11,1806.202338508914
2023-05-12,1773.3091111816423
2023-05-13,1800.7081944324807
2023-05-14,1804.5165191031344
2023-05-15,1826.6347198346857
2023-05-16,1817.936448252485
2023-05-17,1811.7300050976064
2023-05-18,1808.095576546221
2023-05-19,1812.2276692643582
2023-05-20,1817.7037779867187
2023-05-21,1811.5205944456507
2023-05-22,1814.9387858062441
2023-05-23,1851.0367990065924
2023-05-24,1805.9146165050784
2023-05-25,1793.1844201173883
2023-05-26,1823.2240695689097
2023-05-27,1827.8719051745034
2023-05-28,1869.4074340286318
2023-05-29,1902.4639420194092
2023-05-30,1904.8701010414345
2023-05-31,1870.922410164889
2023-06-01,1865.3080586893411
2023-06-02,1892.1570404340273
2023-06-03,1899.0421061412026
2023-06-04,1900.5366137448084
2023-06-05,1834.575935163738
2023-06-06,1845.5910551831223
2023-06-07,1854.9593600215615
2023-06-08,1845.9558440279307
2023-06-09,1841.0755340654805
2023-06-10,1759.4627263353175
2023-06-11,1753.9743386296354
2023-06-12,1738.2262118977255
2023-06-13,1741.8869298732698
2023-06-14,1696.11083623606
2023-06-15,1646.7513067387065
2023-06-16,1684.662183595811
2023-06-17,1735.6613036217277
2023-06-18,1730.922018553825
2023-06-19,1724.239810697115
2023-06-20,1760.6682037626947
2023-06-21,1846.0749174905693
2023-06-22,1898.7793333909083
2023-06-23,1897.5295049825966
2023-06-24,1885.511987319548
2023-06-25,1901.7439216493296
2023-06-26,1872.3923003605214
2023-06-27,1885.340485057172
2023-06-28,1850.3932856371573
2023-06-29,1853.4972632558458
2023-06-30,1890.465781796821
2023-07-01,1922.3383655286334
2023-07-02,1921.8144549387196
2023-07-03,1958.4645691419712
2023-07-04,1952.12531752227
2023-07-05,1914.8121973925215
2023-07-06,1895.2494534894247
2023-07-07,1858.7909835895825
2023-07-08,1860.9057401398852
2023-07-09,1867.221143928995
2023-07-10,1871.361814584837
2023-07-11,1875.0265063408535
2023-07-12,1884.3089205852743
2023-07-13,1949.9112266626132
2023-07-14,1973.8591226373312
2023-07-15,1934.9615111795563
2023-07-16,1930.898145134008
2023-07-17,1904.6407901890516
2023-07-18,1898.9119703238289
2023-07-19,1904.2004305256617
2023-07-20,1898.8129623521497
2023-07-21,1893.6226422650968
2023-07-22,1877.7324195152682
2023-07-23,1879.5110638454717
2023-07-24,1853.383884968584
2023-07-25,1856.566113067152
2023-07-26,1864.6971856827602
