CMDLINE /home/shiftpub/miniconda3/envs/amm-env/bin/python3.9 inf_step_exp/dp_approach/full_vec_grid.py
MEM 642.281250 1750256287.4579
MEM 634.281250 1750256287.5582
MEM 628.281250 1750256287.6586
MEM 689.832031 1750256287.7589
MEM 656.695312 1750256287.8592
MEM 1324.695312 1750256287.9595
MEM 1992.695312 1750256288.0599
MEM 2662.695312 1750256288.1602
MEM 3326.695312 1750256288.2605
MEM 3994.695312 1750256288.3609
MEM 4664.695312 1750256288.4612
MEM 5334.695312 1750256288.5616
MEM 6002.695312 1750256288.6619
MEM 6666.695312 1750256288.7622
MEM 7334.695312 1750256288.8626
MEM 8002.695312 1750256288.9629
MEM 8672.695312 1750256289.0632
MEM 9340.695312 1750256289.1635
MEM 10010.695312 1750256289.2638
MEM 10678.695312 1750256289.3641
MEM 11348.695312 1750256289.4645
MEM 12018.695312 1750256289.5649
MEM 12688.695312 1750256289.6652
MEM 13358.695312 1750256289.7656
MEM 14026.695312 1750256289.8659
MEM 14746.523438 1750256289.9663
MEM 15506.523438 1750256290.0666
MEM 16286.523438 1750256290.1669
MEM 17068.523438 1750256290.2673
MEM 17848.523438 1750256290.3677
MEM 18628.523438 1750256290.4680
MEM 19408.523438 1750256290.5684
MEM 20188.523438 1750256290.6688
MEM 20958.523438 1750256290.7690
MEM 21728.523438 1750256290.8693
MEM 22500.523438 1750256290.9696
MEM 23254.523438 1750256291.0698
MEM 24014.527344 1750256291.1701
MEM 24782.527344 1750256291.2705
MEM 25552.527344 1750256291.3708
MEM 26322.527344 1750256291.4710
MEM 27086.527344 1750256291.5713
MEM 27856.527344 1750256291.6715
MEM 14366.476562 1750256291.7719
MEM 14372.476562 1750256291.8721
MEM 14380.476562 1750256291.9724
MEM 14388.476562 1750256292.0727
MEM 14396.476562 1750256292.1730
MEM 14402.476562 1750256292.2732
MEM 648.230469 1750256292.3734
MEM 634.230469 1750256292.4737
MEM 674.230469 1750256292.5739
MEM 658.230469 1750256292.6741
MEM 674.230469 1750256292.7745
MEM 628.453125 1750256292.8747
MEM 674.230469 1750256292.9750
MEM 654.230469 1750256293.0754
MEM 670.230469 1750256293.1757
MEM 674.230469 1750256293.2761
MEM 674.230469 1750256293.3764
MEM 674.230469 1750256293.4768
MEM 674.230469 1750256293.5771
MEM 674.230469 1750256293.6774
MEM 674.230469 1750256293.7778
MEM 666.230469 1750256293.8781
MEM 695.085938 1750256293.9785
MEM 684.476562 1750256294.0788
MEM 1354.476562 1750256294.1792
MEM 2026.476562 1750256294.2795
MEM 2696.476562 1750256294.3799
MEM 3364.476562 1750256294.4802
MEM 4026.476562 1750256294.5806
MEM 4696.476562 1750256294.6809
MEM 5364.476562 1750256294.7812
MEM 6034.476562 1750256294.8816
MEM 6704.476562 1750256294.9819
MEM 7360.476562 1750256295.0824
MEM 8030.476562 1750256295.1827
MEM 8698.476562 1750256295.2831
MEM 9368.476562 1750256295.3835
MEM 10036.476562 1750256295.4838
MEM 10706.476562 1750256295.5841
MEM 11378.476562 1750256295.6845
MEM 12048.476562 1750256295.7848
MEM 12716.476562 1750256295.8852
MEM 13388.476562 1750256295.9855
MEM 14044.476562 1750256296.0858
MEM 14768.304688 1750256296.1862
MEM 15528.304688 1750256296.2866
MEM 16306.304688 1750256296.3869
MEM 17084.304688 1750256296.4873
MEM 17864.304688 1750256296.5876
MEM 18646.304688 1750256296.6880
MEM 19424.304688 1750256296.7884
MEM 20202.304688 1750256296.8887
MEM 20984.304688 1750256296.9891
MEM 21762.304688 1750256297.0894
MEM 22540.304688 1750256297.1898
MEM 23320.304688 1750256297.2901
MEM 24102.304688 1750256297.3905
MEM 24884.304688 1750256297.4908
MEM 25666.304688 1750256297.5912
MEM 26448.304688 1750256297.6915
MEM 27228.304688 1750256297.7919
MEM 28008.304688 1750256297.8922
MEM 14366.699219 1750256297.9926
MEM 14374.699219 1750256298.0928
MEM 14382.699219 1750256298.1931
MEM 14390.699219 1750256298.2934
MEM 14396.699219 1750256298.3936
MEM 14404.699219 1750256298.4939
MEM 674.062500 1750256298.5942
MEM 674.062500 1750256298.6945
MEM 674.062500 1750256298.7949
MEM 674.062500 1750256298.8952
MEM 633.562500 1750256298.9955
MEM 647.562500 1750256299.0958
MEM 674.062500 1750256299.1961
MEM 673.562500 1750256299.2965
MEM 674.062500 1750256299.3968
MEM 639.562500 1750256299.4971
MEM 651.562500 1750256299.5974
MEM 653.562500 1750256299.6978
MEM 657.562500 1750256299.7981
MEM 657.562500 1750256299.8984
MEM 643.562500 1750256299.9988
MEM 628.453125 1750256300.0991
MEM 672.835938 1750256300.1995
MEM 916.476562 1750256300.2999
MEM 1572.476562 1750256300.4001
MEM 2242.476562 1750256300.5005
MEM 2910.476562 1750256300.6008
MEM 3580.476562 1750256300.7011
MEM 4250.476562 1750256300.8015
MEM 4922.476562 1750256300.9018
MEM 5592.476562 1750256301.0022
MEM 6260.476562 1750256301.1025
MEM 6914.476562 1750256301.2029
MEM 7586.476562 1750256301.3032
MEM 8240.476562 1750256301.4035
MEM 8906.476562 1750256301.5039
MEM 9576.476562 1750256301.6042
MEM 10244.476562 1750256301.7046
MEM 10914.476562 1750256301.8049
MEM 11586.476562 1750256301.9053
MEM 12256.476562 1750256302.0056
MEM 12924.476562 1750256302.1060
MEM 13582.476562 1750256302.2064
MEM 14252.476562 1750256302.3067
MEM 15014.304688 1750256302.4071
MEM 15794.304688 1750256302.5074
MEM 16574.304688 1750256302.6078
MEM 17356.304688 1750256302.7081
MEM 18136.304688 1750256302.8085
MEM 18918.304688 1750256302.9088
MEM 19698.304688 1750256303.0092
MEM 20476.304688 1750256303.1096
MEM 21258.304688 1750256303.2099
MEM 22038.304688 1750256303.3103
MEM 22818.304688 1750256303.4106
MEM 23596.304688 1750256303.5110
MEM 24376.304688 1750256303.6114
MEM 25154.304688 1750256303.7117
MEM 25934.304688 1750256303.8121
MEM 26716.304688 1750256303.9124
MEM 27496.304688 1750256304.0128
MEM 14361.617188 1750256304.1132
MEM 14370.921875 1750256304.2134
MEM 14376.921875 1750256304.3137
MEM 14384.921875 1750256304.4139
MEM 14392.921875 1750256304.5142
MEM 14398.921875 1750256304.6144
MEM 14406.921875 1750256304.7147
MEM 669.785156 1750256304.8151
MEM 663.785156 1750256304.9154
MEM 651.785156 1750256305.0157
MEM 674.035156 1750256305.1161
MEM 674.035156 1750256305.2164
MEM 674.035156 1750256305.3168
MEM 674.035156 1750256305.4172
MEM 628.953125 1750256305.5175
MEM 655.785156 1750256305.6178
MEM 671.785156 1750256305.7182
MEM 674.035156 1750256305.8185
MEM 674.035156 1750256305.9188
MEM 674.035156 1750256306.0192
MEM 665.785156 1750256306.1195
MEM 645.785156 1750256306.2198
MEM 695.117188 1750256306.3201
MEM 669.281250 1750256306.4205
MEM 1120.753906 1750256306.5209
MEM 1788.753906 1750256306.6212
MEM 2458.753906 1750256306.7216
MEM 3128.753906 1750256306.8219
MEM 3798.753906 1750256306.9223
MEM 4466.753906 1750256307.0227
MEM 5130.753906 1750256307.1230
MEM 5800.753906 1750256307.2234
MEM 6462.753906 1750256307.3236
MEM 7128.753906 1750256307.4240
MEM 7798.753906 1750256307.5243
MEM 8466.753906 1750256307.6247
MEM 9136.753906 1750256307.7251
MEM 9806.753906 1750256307.8254
MEM 10476.753906 1750256307.9258
MEM 11146.753906 1750256308.0261
MEM 11814.753906 1750256308.1265
MEM 12482.753906 1750256308.2268
MEM 13150.753906 1750256308.3271
MEM 13810.753906 1750256308.4275
MEM 14498.582031 1750256308.5279
MEM 15278.582031 1750256308.6282
MEM 16058.582031 1750256308.7286
MEM 16840.582031 1750256308.8289
MEM 17620.582031 1750256308.9293
MEM 18400.582031 1750256309.0296
MEM 19178.582031 1750256309.1300
MEM 19958.582031 1750256309.2304
MEM 20736.582031 1750256309.3307
MEM 21514.582031 1750256309.4310
MEM 22292.582031 1750256309.5314
MEM 23072.582031 1750256309.6318
MEM 23854.582031 1750256309.7322
MEM 24634.582031 1750256309.8325
MEM 25418.582031 1750256309.9328
MEM 26200.582031 1750256310.0332
MEM 26976.582031 1750256310.1336
MEM 27754.582031 1750256310.2339
MEM 14359.421875 1750256310.3343
MEM 14367.421875 1750256310.4346
MEM 14373.421875 1750256310.5348
MEM 14381.421875 1750256310.6350
MEM 14389.421875 1750256310.7352
MEM 14397.421875 1750256310.8353
MEM 652.285156 1750256310.9354
MEM 638.285156 1750256311.0356
MEM 668.062500 1750256311.1358
MEM 652.062500 1750256311.2360
MEM 668.062500 1750256311.3363
MEM 642.062500 1750256311.4365
MEM 622.730469 1750256311.5367
MEM 668.062500 1750256311.6370
MEM 668.062500 1750256311.7372
MEM 668.062500 1750256311.8375
MEM 668.062500 1750256311.9377
MEM 668.062500 1750256312.0379
MEM 668.062500 1750256312.1382
MEM 660.062500 1750256312.2385
MEM 668.062500 1750256312.3388
MEM 634.062500 1750256312.4390
MEM 671.390625 1750256312.5393
MEM 631.613281 1750256312.6395
MEM 1168.476562 1750256312.7399
MEM 1838.476562 1750256312.8402
MEM 2508.476562 1750256312.9405
